EventID,Field,Value,Hexadecimal,Translation,Notes
,"AD Attributes","7f561287-5301-11d1-a9c5-0000f80367c1",,"ACS-Enable-ACS-Service",
,"AD Attributes","f072230e-aef5-11d1-bdcf-0000f80367c1",,"ACS-Enable-RSVP-Accounting",
,"AD Attributes","7f561285-5301-11d1-a9c5-0000f80367c1",,"ACS-Enable-RSVP-Message-Logging",
,"AD Attributes","7f561286-5301-11d1-a9c5-0000f80367c1",,"ACS-Event-Log-Level",
,"AD Attributes","dab029b6-ddf7-11d1-90a5-00c04fd91ab1",,"ACS-Identity-Name",
,"AD Attributes","f072230c-aef5-11d1-bdcf-0000f80367c1",,"ACS-Max-Aggregate-Peak-Rate-Per-User",
,"AD Attributes","7f56127e-5301-11d1-a9c5-0000f80367c1",,"ACS-Max-Duration-Per-Flow",
,"AD Attributes","f0722310-aef5-11d1-bdcf-0000f80367c1",,"ACS-Max-No-Of-Account-Files",
,"AD Attributes","1cb3559c-56d0-11d1-a9c6-0000f80367c1",,"ACS-Max-No-Of-Log-Files",
,"AD Attributes","7f561284-5301-11d1-a9c5-0000f80367c1",,"ACS-Max-Peak-Bandwidth",
,"AD Attributes","7f56127c-5301-11d1-a9c5-0000f80367c1",,"ACS-Max-Peak-Bandwidth-Per-Flow",
,"AD Attributes","f0722311-aef5-11d1-bdcf-0000f80367c1",,"ACS-Max-Size-Of-RSVP-Account-File",
,"AD Attributes","1cb3559d-56d0-11d1-a9c6-0000f80367c1",,"ACS-Max-Size-Of-RSVP-Log-File",
,"AD Attributes","81f6e0df-3b90-11d2-90cc-00c04fd91ab1",,"ACS-Max-Token-Bucket-Per-Flow",
,"AD Attributes","7f56127b-5301-11d1-a9c5-0000f80367c1",,"ACS-Max-Token-Rate-Per-Flow",
,"AD Attributes","87a2d8f9-3b90-11d2-90cc-00c04fd91ab1",,"ACS-Maximum-SDU-Size",
,"AD Attributes","9c65329b-3b90-11d2-90cc-00c04fd91ab1",,"ACS-Minimum-Delay-Variation",
,"AD Attributes","9517fefb-3b90-11d2-90cc-00c04fd91ab1",,"ACS-Minimum-Latency",
,"AD Attributes","8d0e7195-3b90-11d2-90cc-00c04fd91ab1",,"ACS-Minimum-Policed-Size",
,"AD Attributes","aec2cfe3-3b90-11d2-90cc-00c04fd91ab1",,"ACS-Non-Reserved-Max-SDU-Size",
,"AD Attributes","b6873917-3b90-11d2-90cc-00c04fd91ab1",,"ACS-Non-Reserved-Min-Policed-Size",
,"AD Attributes","a331a73f-3b90-11d2-90cc-00c04fd91ab1",,"ACS-Non-Reserved-Peak-Rate",
,"AD Attributes","a916d7c9-3b90-11d2-90cc-00c04fd91ab1",,"ACS-Non-Reserved-Token-Size",
,"AD Attributes","1cb355a2-56d0-11d1-a9c6-0000f80367c1",,"ACS-Non-Reserved-Tx-Limit",
,"AD Attributes","f072230d-aef5-11d1-bdcf-0000f80367c1",,"ACS-Non-Reserved-Tx-Size",
,"AD Attributes","7f561282-5301-11d1-a9c5-0000f80367c1",,"ACS-Permission-Bits",
,"AD Attributes","1cb3559a-56d0-11d1-a9c6-0000f80367c1",,"ACS-Policy-Name",
,"AD Attributes","7f561281-5301-11d1-a9c5-0000f80367c1",,"ACS-Priority",
,"AD Attributes","f072230f-aef5-11d1-bdcf-0000f80367c1",,"ACS-RSVP-Account-Files-Location",
,"AD Attributes","1cb3559b-56d0-11d1-a9c6-0000f80367c1",,"ACS-RSVP-Log-Files-Location",
,"AD Attributes","7cbd59a5-3b90-11d2-90cc-00c04fd91ab1",,"ACS-Server-List",
,"AD Attributes","7f56127f-5301-11d1-a9c5-0000f80367c1",,"ACS-Service-Type",
,"AD Attributes","7f561279-5301-11d1-a9c5-0000f80367c1",,"ACS-Time-Of-Day",
,"AD Attributes","7f561280-5301-11d1-a9c5-0000f80367c1",,"ACS-Total-No-Of-Flows",
,"AD Attributes","45b01500-c419-11d1-bbc9-0080c76670c0",,ANR,
,"AD Attributes","bf967915-0de6-11d0-a285-00aa003049e2",,"Account-Expires",
,"AD Attributes","031952ec-3b72-11d2-90cc-00c04fd91ab1",,"Account-Name-History",
,"AD Attributes","6d05fb41-246b-11d0-a9c8-00aa006c33ed",,"Additional-Information",
,"AD Attributes","032160be-9824-11d1-aec0-0000f80367c1",,"Additional-Trusted-Service-Names",
,"AD Attributes","f0f8ff84-1191-11d0-a060-00aa006c33ed",,Address,
,"AD Attributes","f70b6e48-06f4-11d2-aa53-00c04fd7d83a",,"Address-Book-Roots",
,"AD Attributes","508ca374-a511-4e4e-9f4f-856f61a6b7e4",,"Address-Book-Roots2",
,"AD Attributes","5fd42461-1262-11d0-a060-00aa006c33ed",,"Address-Entry-Display-Table",
,"AD Attributes","5fd42462-1262-11d0-a060-00aa006c33ed",,"Address-Entry-Display-Table-MSDOS",
,"AD Attributes","16775781-47f3-11d1-a9c3-0000f80367c1",,"Address-Home",
,"AD Attributes","5fd42463-1262-11d0-a060-00aa006c33ed",,"Address-Syntax",
,"AD Attributes","5fd42464-1262-11d0-a060-00aa006c33ed",,"Address-Type",
,"AD Attributes","553fd038-f32e-11d0-b0bc-00c04fd8dca6",,"Admin-Context-Menu",
,"AD Attributes","bf967918-0de6-11d0-a285-00aa003049e2",,"Admin-Count",
,"AD Attributes","bf967919-0de6-11d0-a285-00aa003049e2",,"Admin-Description",
,"AD Attributes","bf96791a-0de6-11d0-a285-00aa003049e2",,"Admin-Display-Name",
,"AD Attributes","18f9b67d-5ac6-4b3b-97db-d0a406afb7ba",,"Admin-Multiselect-Property-Pages",
,"AD Attributes","52458038-ca6a-11d0-afff-0000f80367c1",,"Admin-Property-Pages",
,"AD Attributes","9a7ad940-ca53-11d1-bbd0-0080c76670c0",,"Allowed-Attributes",
,"AD Attributes","9a7ad941-ca53-11d1-bbd0-0080c76670c0",,"Allowed-Attributes-Effective",
,"AD Attributes","9a7ad942-ca53-11d1-bbd0-0080c76670c0",,"Allowed-Child-Classes",
,"AD Attributes","9a7ad943-ca53-11d1-bbd0-0080c76670c0",,"Allowed-Child-Classes-Effective",
,"AD Attributes","00fbf30c-91fe-11d1-aebc-0000f80367c1",,"Alt-Security-Identities",
,"AD Attributes","96a7dd65-9118-11d1-aebc-0000f80367c1",,"App-Schema-Version",
,"AD Attributes","dd712226-10e4-11d0-a05f-00aa006c33ed",,"Application-Name",
,"AD Attributes","8297931d-86d3-11d0-afda-00c04fd930c9",,"Applies-To",
,"AD Attributes","ba305f75-47e3-11d0-a1a6-00c04fd930c9",,"Asset-Number",
,"AD Attributes","0296c11c-40da-11d1-a9c0-0000f80367c1",,Assistant,
,"AD Attributes","398f63c0-ca60-11d1-bbd1-0000f81f10c0",,"Assoc-NT-Account",
,"AD Attributes","cb843f80-48d9-11d1-a9c3-0000f80367c1",,"Attribute-Display-Names",
,"AD Attributes","bf967922-0de6-11d0-a285-00aa003049e2",,"Attribute-ID",
,"AD Attributes","bf967924-0de6-11d0-a285-00aa003049e2",,"Attribute-Security-GUID",
,"AD Attributes","bf967925-0de6-11d0-a285-00aa003049e2",,"Attribute-Syntax",
,"AD Attributes","9a7ad944-ca53-11d1-bbd0-0080c76670c0",,"Attribute-Types",
,"AD Attributes","6da8a4fe-0e52-11d0-a286-00aa003049e2",,"Auditing-Policy",
,"AD Attributes","bf967928-0de6-11d0-a285-00aa003049e2",,"Authentication-Options",
,"AD Attributes","1677578d-47f3-11d1-a9c3-0000f80367c1",,"Authority-Revocation-List",
,"AD Attributes","bf96792c-0de6-11d0-a285-00aa003049e2",,"Auxiliary-Class",
,"AD Attributes","bf96792d-0de6-11d0-a285-00aa003049e2",,"Bad-Password-Time",
,"AD Attributes","bf96792e-0de6-11d0-a285-00aa003049e2",,"Bad-Pwd-Count",
,"AD Attributes","1f0075f9-7e40-11d0-afd6-00c04fd930c9",,"Birth-Location",
,"AD Attributes","e3f3cb4e-0f20-42eb-9703-d2ff26e52667",,BootFile,
,"AD Attributes","d72a0750-8c7c-416e-8714-e65f11e908be",,BootParameter,
,"AD Attributes","d50c2cdb-8951-11d1-aebc-0000f80367c1",,"Bridgehead-Server-List-BL",
,"AD Attributes","d50c2cda-8951-11d1-aebc-0000f80367c1",,"Bridgehead-Transport-List",
,"AD Attributes","bf96792f-0de6-11d0-a285-00aa003049e2",,"Builtin-Creation-Time",
,"AD Attributes","bf967930-0de6-11d0-a285-00aa003049e2",,"Builtin-Modified-Count",
,"AD Attributes","bf967931-0de6-11d0-a285-00aa003049e2",,"Business-Category",
,"AD Attributes","ba305f76-47e3-11d0-a1a6-00c04fd930c9",,"Bytes-Per-Minute",
,"AD Attributes","bf967932-0de6-11d0-a285-00aa003049e2",,"CA-Certificate",
,"AD Attributes","963d2740-48be-11d1-a9c3-0000f80367c1",,"CA-Certificate-DN",
,"AD Attributes","963d2735-48be-11d1-a9c3-0000f80367c1",,"CA-Connect",
,"AD Attributes","963d2738-48be-11d1-a9c3-0000f80367c1",,"CA-Usages",
,"AD Attributes","963d2736-48be-11d1-a9c3-0000f80367c1",,"CA-WEB-URL",
,"AD Attributes","281416d9-1968-11d0-a28f-00aa003049e2",,"COM-CLSID",
,"AD Attributes","bf96793b-0de6-11d0-a285-00aa003049e2",,"COM-ClassID",
,"AD Attributes","bf96793c-0de6-11d0-a285-00aa003049e2",,"COM-InterfaceID",
,"AD Attributes","281416dd-1968-11d0-a28f-00aa003049e2",,"COM-Other-Prog-Id",
,"AD Attributes","bf96793d-0de6-11d0-a285-00aa003049e2",,"COM-ProgID",
,"AD Attributes","281416db-1968-11d0-a28f-00aa003049e2",,"COM-Treat-As-Class-Id",
,"AD Attributes","281416de-1968-11d0-a28f-00aa003049e2",,"COM-Typelib-Id",
,"AD Attributes","281416da-1968-11d0-a28f-00aa003049e2",,"COM-Unique-LIBID",
,"AD Attributes","963d2737-48be-11d1-a9c3-0000f80367c1",,"CRL-Object",
,"AD Attributes","963d2731-48be-11d1-a9c3-0000f80367c1",,"CRL-Partitioned-Revocation-List",
,"AD Attributes","d9e18314-8939-11d1-aebc-0000f80367c1",,"Can-Upgrade-Script",
,"AD Attributes","9a7ad945-ca53-11d1-bbd0-0080c76670c0",,"Canonical-Name",
,"AD Attributes","7bfdcb81-4807-11d1-a9c3-0000f80367c1",,Catalogs,
,"AD Attributes","7bfdcb7e-4807-11d1-a9c3-0000f80367c1",,Categories,
,"AD Attributes","7d6c0e94-7e20-11d0-afd6-00c04fd930c9",,"Category-Id",
,"AD Attributes","963d2732-48be-11d1-a9c3-0000f80367c1",,"Certificate-Authority-Object",
,"AD Attributes","1677579f-47f3-11d1-a9c3-0000f80367c1",,"Certificate-Revocation-List",
,"AD Attributes","2a39c5b1-8960-11d1-aebc-0000f80367c1",,"Certificate-Templates",
,"AD Attributes","548e1c22-dea6-11d0-b010-0000f80367c1",,"Class-Display-Name",
,"AD Attributes","bf967938-0de6-11d0-a285-00aa003049e2",,"Code-Page",
,"AD Attributes","bf96793e-0de6-11d0-a285-00aa003049e2",,Comment,
,"AD Attributes","bf96793f-0de6-11d0-a285-00aa003049e2",,"Common-Name",
,"AD Attributes","f0f8ff88-1191-11d0-a060-00aa006c33ed",,Company,
,"AD Attributes","bf967943-0de6-11d0-a285-00aa003049e2",,"Content-Indexing-Allowed",
,"AD Attributes","4d8601ee-ac85-11d0-afe3-00c04fd930c9",,"Context-Menu",
,"AD Attributes","6da8a4fc-0e52-11d0-a286-00aa003049e2",,"Control-Access-Rights",
,"AD Attributes","bf967944-0de6-11d0-a285-00aa003049e2",,Cost,
,"AD Attributes","5fd42471-1262-11d0-a060-00aa006c33ed",,"Country-Code",
,"AD Attributes","bf967945-0de6-11d0-a285-00aa003049e2",,"Country-Name",
,"AD Attributes","2b09958a-8931-11d1-aebc-0000f80367c1",,"Create-Dialog",
,"AD Attributes","2df90d73-009f-11d2-aa4c-00c04fd7d83a",,"Create-Time-Stamp",
,"AD Attributes","2b09958b-8931-11d1-aebc-0000f80367c1",,"Create-Wizard-Ext",
,"AD Attributes","bf967946-0de6-11d0-a285-00aa003049e2",,"Creation-Time",
,"AD Attributes","4d8601ed-ac85-11d0-afe3-00c04fd930c9",,"Creation-Wizard",
,"AD Attributes","7bfdcb85-4807-11d1-a9c3-0000f80367c1",,Creator,
,"AD Attributes","167757b2-47f3-11d1-a9c3-0000f80367c1",,"Cross-Certificate-Pair",
,"AD Attributes","1f0075fe-7e40-11d0-afd6-00c04fd930c9",,"Curr-Machine-Id",
,"AD Attributes","1f0075fc-7e40-11d0-afd6-00c04fd930c9",,"Current-Location",
,"AD Attributes","963d273f-48be-11d1-a9c3-0000f80367c1",,"Current-Parent-CA",
,"AD Attributes","bf967947-0de6-11d0-a285-00aa003049e2",,"Current-Value",
,"AD Attributes","bf96799c-0de6-11d0-a285-00aa003049e2",,"DBCS-Pwd",
,"AD Attributes","9a7ad946-ca53-11d1-bbd0-0080c76670c0",,"DIT-Content-Rules",
,"AD Attributes","f0f8ff8b-1191-11d0-a060-00aa006c33ed",,"DMD-Location",
,"AD Attributes","167757b9-47f3-11d1-a9c3-0000f80367c1",,"DMD-Name",
,"AD Attributes","2df90d86-009f-11d2-aa4c-00c04fd7d83a",,"DN-Reference-Update",
,"AD Attributes","72e39547-7b18-11d1-adef-00c04fd8d5cd",,"DNS-Host-Name",
,"AD Attributes","675a15fe-3b70-11d2-90cc-00c04fd91ab1",,"DNS-Property",
,"AD Attributes","d5eb2eb7-be4e-463b-a214-634a44d7392e",,"DNS-Tombstoned",
,"AD Attributes","d167aa4b-8b08-11d2-9939-0000f87a57d4",,"DS-Core-Propagation-Data",
,"AD Attributes","f0f8ff86-1191-11d0-a060-00aa006c33ed",,"DS-Heuristics",
,"AD Attributes","ee8d0ae0-6f91-11d2-9905-0000f87a57d4",,"DS-UI-Admin-Maximum",
,"AD Attributes","f6ea0a94-6f91-11d2-9905-0000f87a57d4",,"DS-UI-Admin-Notification",
,"AD Attributes","fcca766a-6f91-11d2-9905-0000f87a57d4",,"DS-UI-Shell-Maximum",
,"AD Attributes","167757bc-47f3-11d1-a9c3-0000f80367c1",,"DSA-Signature",
,"AD Attributes","bf967948-0de6-11d0-a285-00aa003049e2",,"Default-Class-Store",
,"AD Attributes","720bc4e2-a54a-11d0-afdf-00c04fd930c9",,"Default-Group",
,"AD Attributes","b7b13116-b82e-11d0-afee-0000f80367c1",,"Default-Hiding-Value",
,"AD Attributes","bf96799f-0de6-11d0-a285-00aa003049e2",,"Default-Local-Policy-Object",
,"AD Attributes","26d97367-6070-11d1-a9c6-0000f80367c1",,"Default-Object-Category",
,"AD Attributes","281416c8-1968-11d0-a28f-00aa003049e2",,"Default-Priority",
,"AD Attributes","807a6d30-1669-11d0-a064-00aa006c33ed",,"Default-Security-Descriptor",
,"AD Attributes","167757b5-47f3-11d1-a9c3-0000f80367c1",,"Delta-Revocation-List",
,"AD Attributes","bf96794f-0de6-11d0-a285-00aa003049e2",,Department,
,"AD Attributes","bf967950-0de6-11d0-a285-00aa003049e2",,Description,
,"AD Attributes","eea65906-8ac6-11d0-afda-00c04fd930c9",,"Desktop-Profile",
,"AD Attributes","bf967951-0de6-11d0-a285-00aa003049e2",,"Destination-Indicator",
,"AD Attributes","bf967953-0de6-11d0-a285-00aa003049e2",,"Display-Name",
,"AD Attributes","bf967954-0de6-11d0-a285-00aa003049e2",,"Display-Name-Printable",
,"AD Attributes","fe6136a0-2073-11d0-a9c2-00aa006c33ed",,Division,
,"AD Attributes","e0fa1e65-9b45-11d0-afdd-00c04fd930c9",,"Dns-Allow-Dynamic",
,"AD Attributes","e0fa1e66-9b45-11d0-afdd-00c04fd930c9",,"Dns-Allow-XFR",
,"AD Attributes","e0fa1e68-9b45-11d0-afdd-00c04fd930c9",,"Dns-Notify-Secondaries",
,"AD Attributes","e0fa1e69-9b45-11d0-afdd-00c04fd930c9",,"Dns-Record",
,"AD Attributes","bf967959-0de6-11d0-a285-00aa003049e2",,"Dns-Root",
,"AD Attributes","e0fa1e67-9b45-11d0-afdd-00c04fd930c9",,"Dns-Secure-Secondaries",
,"AD Attributes","7bfdcb7a-4807-11d1-a9c3-0000f80367c1",,"Domain-Certificate-Authorities",
,"AD Attributes","19195a55-6da0-11d0-afd3-00c04fd930c9",,"Domain-Component",
,"AD Attributes","b000ea7b-a086-11d0-afdd-00c04fd930c9",,"Domain-Cross-Ref",
,"AD Attributes","963d2734-48be-11d1-a9c3-0000f80367c1",,"Domain-ID",
,"AD Attributes","7f561278-5301-11d1-a9c5-0000f80367c1",,"Domain-Identifier",
,"AD Attributes","bf96795d-0de6-11d0-a285-00aa003049e2",,"Domain-Policy-Object",
,"AD Attributes","80a67e2a-9f22-11d0-afdd-00c04fd930c9",,"Domain-Policy-Reference",
,"AD Attributes","bf96795e-0de6-11d0-a285-00aa003049e2",,"Domain-Replica",
,"AD Attributes","80a67e29-9f22-11d0-afdd-00c04fd930c9",,"Domain-Wide-Policy",
,"AD Attributes","281416c5-1968-11d0-a28f-00aa003049e2",,"Driver-Name",
,"AD Attributes","ba305f6e-47e3-11d0-a1a6-00c04fd930c9",,"Driver-Version",
,"AD Attributes","52458021-ca6a-11d0-afff-0000f80367c1",,"Dynamic-LDAP-Server",
,"AD Attributes","bf967961-0de6-11d0-a285-00aa003049e2",,"E-mail-Addresses",
,"AD Attributes","8e4eb2ec-4712-11d0-a1a0-00c04fd930c9",,EFSPolicy,
,"AD Attributes","bf967962-0de6-11d0-a285-00aa003049e2",,"Employee-ID",
,"AD Attributes","a8df73ef-c5ea-11d1-bbcb-0080c76670c0",,"Employee-Number",
,"AD Attributes","a8df73f0-c5ea-11d1-bbcb-0080c76670c0",,"Employee-Type",
,"AD Attributes","a8df73f2-c5ea-11d1-bbcb-0080c76670c0",,Enabled,
,"AD Attributes","bf967963-0de6-11d0-a285-00aa003049e2",,"Enabled-Connection",
,"AD Attributes","2a39c5b3-8960-11d1-aebc-0000f80367c1",,"Enrollment-Providers",
,"AD Attributes","d213decc-d81a-4384-aac2-dcfcfd631cf8",,"Entry-TTL",
,"AD Attributes","9a7ad947-ca53-11d1-bbd0-0080c76670c0",,"Extended-Attribute-Info",
,"AD Attributes","bf967966-0de6-11d0-a285-00aa003049e2",,"Extended-Chars-Allowed",
,"AD Attributes","9a7ad948-ca53-11d1-bbd0-0080c76670c0",,"Extended-Class-Info",
,"AD Attributes","bf967972-0de6-11d0-a285-00aa003049e2",,"Extension-Name",
,"AD Attributes","d24e2846-1dd9-4bcf-99d7-a6227cc86da7",,"Extra-Columns",
,"AD Attributes","2a13257a-9373-11d1-aebc-0000f80367c1",,"FRS-Control-Data-Creation",
,"AD Attributes","2a13257b-9373-11d1-aebc-0000f80367c1",,"FRS-Control-Inbound-Backlog",
,"AD Attributes","2a13257c-9373-11d1-aebc-0000f80367c1",,"FRS-Control-Outbound-Backlog",
,"AD Attributes","1be8f177-a9ff-11d0-afe2-00c04fd930c9",,"FRS-DS-Poll",
,"AD Attributes","1be8f171-a9ff-11d0-afe2-00c04fd930c9",,"FRS-Directory-Filter",
,"AD Attributes","52458020-ca6a-11d0-afff-0000f80367c1",,"FRS-Extensions",
,"AD Attributes","1be8f178-a9ff-11d0-afe2-00c04fd930c9",,"FRS-Fault-Condition",
,"AD Attributes","1be8f170-a9ff-11d0-afe2-00c04fd930c9",,"FRS-File-Filter",
,"AD Attributes","2a13257d-9373-11d1-aebc-0000f80367c1",,"FRS-Flags",
,"AD Attributes","5245801e-ca6a-11d0-afff-0000f80367c1",,"FRS-Level-Limit",
,"AD Attributes","2a13257e-9373-11d1-aebc-0000f80367c1",,"FRS-Member-Reference",
,"AD Attributes","2a13257f-9373-11d1-aebc-0000f80367c1",,"FRS-Member-Reference-BL",
,"AD Attributes","2a132580-9373-11d1-aebc-0000f80367c1",,"FRS-Partner-Auth-Level",
,"AD Attributes","2a132581-9373-11d1-aebc-0000f80367c1",,"FRS-Primary-Member",
,"AD Attributes","5245801a-ca6a-11d0-afff-0000f80367c1",,"FRS-Replica-Set-GUID",
,"AD Attributes","26d9736b-6070-11d1-a9c6-0000f80367c1",,"FRS-Replica-Set-Type",
,"AD Attributes","1be8f174-a9ff-11d0-afe2-00c04fd930c9",,"FRS-Root-Path",
,"AD Attributes","5245801f-ca6a-11d0-afff-0000f80367c1",,"FRS-Root-Security",
,"AD Attributes","ddac0cee-af8f-11d0-afeb-00c04fd930c9",,"FRS-Service-Command",
,"AD Attributes","2a132582-9373-11d1-aebc-0000f80367c1",,"FRS-Service-Command-Status",
,"AD Attributes","1be8f175-a9ff-11d0-afe2-00c04fd930c9",,"FRS-Staging-Path",
,"AD Attributes","2a132583-9373-11d1-aebc-0000f80367c1",,"FRS-Time-Last-Command",
,"AD Attributes","2a132584-9373-11d1-aebc-0000f80367c1",,"FRS-Time-Last-Config-Change",
,"AD Attributes","1be8f172-a9ff-11d0-afe2-00c04fd930c9",,"FRS-Update-Timeout",
,"AD Attributes","2a132585-9373-11d1-aebc-0000f80367c1",,"FRS-Version",
,"AD Attributes","26d9736c-6070-11d1-a9c6-0000f80367c1",,"FRS-Version-GUID",
,"AD Attributes","1be8f173-a9ff-11d0-afe2-00c04fd930c9",,"FRS-Working-Path",
,"AD Attributes","66171887-8f3c-11d0-afda-00c04fd930c9",,"FSMO-Role-Owner",
,"AD Attributes","bf967974-0de6-11d0-a285-00aa003049e2",,"Facsimile-Telephone-Number",
,"AD Attributes","d9e18315-8939-11d1-aebc-0000f80367c1",,"File-Ext-Priority",
,"AD Attributes","bf967976-0de6-11d0-a285-00aa003049e2",,Flags,
,"AD Attributes","b7b13117-b82e-11d0-afee-0000f80367c1",,"Flat-Name",
,"AD Attributes","bf967977-0de6-11d0-a285-00aa003049e2",,"Force-Logoff",
,"AD Attributes","3e97891e-8c01-11d0-afda-00c04fd930c9",,"Foreign-Identifier",
,"AD Attributes","7bfdcb88-4807-11d1-a9c3-0000f80367c1",,"Friendly-Names",
,"AD Attributes","9a7ad949-ca53-11d1-bbd0-0080c76670c0",,"From-Entry",
,"AD Attributes","bf967979-0de6-11d0-a285-00aa003049e2",,"From-Server",
,"AD Attributes","2a132578-9373-11d1-aebc-0000f80367c1",,"Frs-Computer-Reference",
,"AD Attributes","2a132579-9373-11d1-aebc-0000f80367c1",,"Frs-Computer-Reference-BL",
,"AD Attributes","f30e3bbe-9ff0-11d1-b603-0000f80367c1",,"GP-Link",
,"AD Attributes","f30e3bbf-9ff0-11d1-b603-0000f80367c1",,"GP-Options",
,"AD Attributes","f30e3bc1-9ff0-11d1-b603-0000f80367c1",,"GPC-File-Sys-Path",
,"AD Attributes","f30e3bc0-9ff0-11d1-b603-0000f80367c1",,"GPC-Functionality-Version",
,"AD Attributes","32ff8ecc-783f-11d2-9916-0000f87a57d4",,"GPC-Machine-Extension-Names",
,"AD Attributes","42a75fc6-783f-11d2-9916-0000f87a57d4",,"GPC-User-Extension-Names",
,"AD Attributes","7bd4c7a6-1add-4436-8c04-3999a880154c",,"GPC-WQL-Filter",
,"AD Attributes","5fd424a1-1262-11d0-a060-00aa006c33ed",,"Garbage-Coll-Period",
,"AD Attributes","a3e03f1f-1d55-4253-a0af-30c2a784e46e",,Gecos,
,"AD Attributes","bf96797a-0de6-11d0-a285-00aa003049e2",,"Generated-Connection",
,"AD Attributes","16775804-47f3-11d1-a9c3-0000f80367c1",,"Generation-Qualifier",
,"AD Attributes","c5b95f0c-ec9e-41c4-849c-b46597ed6696",,GidNumber,
,"AD Attributes","f0f8ff8e-1191-11d0-a060-00aa006c33ed",,"Given-Name",
,"AD Attributes","f754c748-06f4-11d2-aa53-00c04fd7d83a",,"Global-Address-List",
,"AD Attributes","4898f63d-4112-477c-8826-3ca00bd8277d",,"Global-Address-List2",
,"AD Attributes","bf96797d-0de6-11d0-a285-00aa003049e2",,"Governs-ID",
,"AD Attributes","bf96797e-0de6-11d0-a285-00aa003049e2",,"Group-Attributes",
,"AD Attributes","bf967980-0de6-11d0-a285-00aa003049e2",,"Group-Membership-SAM",
,"AD Attributes","eea65905-8ac6-11d0-afda-00c04fd930c9",,"Group-Priority",
,"AD Attributes","9a9a021e-4a5b-11d1-a9c3-0000f80367c1",,"Group-Type",
,"AD Attributes","eea65904-8ac6-11d0-afda-00c04fd930c9",,"Groups-to-Ignore",
,"AD Attributes","bf967982-0de6-11d0-a285-00aa003049e2",,"Has-Master-NCs",
,"AD Attributes","bf967981-0de6-11d0-a285-00aa003049e2",,"Has-Partial-Replica-NCs",
,"AD Attributes","5fd424a7-1262-11d0-a060-00aa006c33ed",,"Help-Data16",
,"AD Attributes","5fd424a8-1262-11d0-a060-00aa006c33ed",,"Help-Data32",
,"AD Attributes","5fd424a9-1262-11d0-a060-00aa006c33ed",,"Help-File-Name",
,"AD Attributes","ec05b750-a977-4efe-8e8d-ba6c1a6e33a8",,"Hide-From-AB",
,"AD Attributes","bf967985-0de6-11d0-a285-00aa003049e2",,"Home-Directory",
,"AD Attributes","bf967986-0de6-11d0-a285-00aa003049e2",,"Home-Drive",
,"AD Attributes","07383075-91df-11d1-aebc-0000f80367c1",,"IPSEC-Negotiation-Policy-Action",
,"AD Attributes","07383074-91df-11d1-aebc-0000f80367c1",,"IPSEC-Negotiation-Policy-Type",
,"AD Attributes","f0f8ff83-1191-11d0-a060-00aa006c33ed",,"Icon-Path",
,"AD Attributes","7d6c0e92-7e20-11d0-afd6-00c04fd930c9",,"Implemented-Categories",
,"AD Attributes","7bfdcb87-4807-11d1-a9c3-0000f80367c1",,IndexedScopes,
,"AD Attributes","52458023-ca6a-11d0-afff-0000f80367c1",,"Initial-Auth-Incoming",
,"AD Attributes","52458024-ca6a-11d0-afff-0000f80367c1",,"Initial-Auth-Outgoing",
,"AD Attributes","f0f8ff90-1191-11d0-a060-00aa006c33ed",,Initials,
,"AD Attributes","96a7dd64-9118-11d1-aebc-0000f80367c1",,"Install-Ui-Level",
,"AD Attributes","bf96798c-0de6-11d0-a285-00aa003049e2",,"Instance-Type",
,"AD Attributes","b7c69e60-2cc7-11d2-854e-00a0c983f608",,"Inter-Site-Topology-Failover",
,"AD Attributes","b7c69e5e-2cc7-11d2-854e-00a0c983f608",,"Inter-Site-Topology-Generator",
,"AD Attributes","b7c69e5f-2cc7-11d2-854e-00a0c983f608",,"Inter-Site-Topology-Renew",
,"AD Attributes","bf96798d-0de6-11d0-a285-00aa003049e2",,"International-ISDN-Number",
,"AD Attributes","bf96798e-0de6-11d0-a285-00aa003049e2",,"Invocation-Id",
,"AD Attributes","de8bb721-85dc-4fde-b687-9657688e667e",,IpHostNumber,
,"AD Attributes","6ff64fcd-462e-4f62-b44a-9a5347659eb9",,IpNetmaskNumber,
,"AD Attributes","4e3854f4-3087-42a4-a813-bb0c528958d3",,IpNetworkNumber,
,"AD Attributes","ebf5c6eb-0e2d-4415-9670-1081993b4211",,IpProtocolNumber,
,"AD Attributes","ff2daebf-f463-495a-8405-3e483641eaa2",,IpServicePort,
,"AD Attributes","cd96ec0b-1ed6-43b4-b26b-f170b645883f",,IpServiceProtocol,
,"AD Attributes","b40ff81f-427a-11d1-a9c2-0000f80367c1",,"Ipsec-Data",
,"AD Attributes","b40ff81e-427a-11d1-a9c2-0000f80367c1",,"Ipsec-Data-Type",
,"AD Attributes","b40ff823-427a-11d1-a9c2-0000f80367c1",,"Ipsec-Filter-Reference",
,"AD Attributes","b40ff81d-427a-11d1-a9c2-0000f80367c1",,"Ipsec-ID",
,"AD Attributes","b40ff820-427a-11d1-a9c2-0000f80367c1",,"Ipsec-ISAKMP-Reference",
,"AD Attributes","b40ff821-427a-11d1-a9c2-0000f80367c1",,"Ipsec-NFA-Reference",
,"AD Attributes","b40ff81c-427a-11d1-a9c2-0000f80367c1",,"Ipsec-Name",
